Science Activity Number;Science Activity Closed;Device Operation Number;Device Operation;Device Operation Closed;Device Operation Label;Device Shortname;Underway;Event Time;Event Comment;Action;Latitude;Longitude;Depth (m);Speed (kn);Course;Wind Dir;Wind Velocity;Winch;Rope Length (m)
0;f;1;M203_0_Underway-1;t;VMADCP_38kHz;VMADCP_38kHz;f;16.08.24 06:24;;profile start;16∞ 53,342' N;024∞ 59,904' W;0;0;62;48.0;5.2;10;0
0;f;1;M203_0_Underway-1;t;VMADCP_38kHz;VMADCP_38kHz;f;24.09.24 01:52;;profile end;13∞ 09,707' N;059∞ 24,427' W;171;0;252;62.0;5.2;03;0
0;f;3;M203_0_Underway-3;t;TSG;TSG;f;16.08.24 06:24;;profile start;16∞ 53,342' N;024∞ 59,904' W;0;0;165;11.0;5.2;10;0
0;f;3;M203_0_Underway-3;t;TSG;TSG;f;24.09.24 01:52;;profile end;13∞ 09,707' N;059∞ 24,427' W;171;0;341;63.0;4.6;03;0
0;f;2;M203_0_Underway-2;t;VMADCP_75kHz;VMADCP_75kHz;f;16.08.24 06:24;;profile start;16∞ 53,342' N;024∞ 59,904' W;0;0;21;18.0;4.1;10;0
0;f;2;M203_0_Underway-2;t;VMADCP_75kHz;VMADCP_75kHz;f;24.09.24 01:52;;profile end;13∞ 09,707' N;059∞ 24,427' W;171;0;336;63.0;4.6;03;0
0;f;4;M203_0_Underway-4;t;EM122;EM122;f;16.08.24 06:24;;profile start;16∞ 53,342' N;024∞ 59,904' W;0;0;92;40.0;5.3;10;0
0;f;4;M203_0_Underway-4;t;EM122;EM122;f;24.09.24 01:52;;profile end;13∞ 09,708' N;059∞ 24,427' W;171;0;299;65.0;4.9;03;0
0;f;8;M203_0_Underway-8;t;CPOL;CPOL;f;16.08.24 08:10;Recording start;information;16∞ 51,895' N;025∞ 05,805' W;0;10;230;63.0;12.5;10;0
0;f;8;M203_0_Underway-8;t;CPOL;CPOL;f;28.08.24 07:15;Recording suspended;information;14∞ 42,686' N;023∞ 30,059' W;3445;7;2;44.0;5.1;03;0
0;f;8;M203_0_Underway-8;t;CPOL;CPOL;f;28.08.24 20:20;recording continued;information;13∞ 27,535' N;023∞ 16,999' W;4519;10;171;25.0;4.4;03;0
0;f;8;M203_0_Underway-8;t;CPOL;CPOL;f;24.09.24 01:51;recording stopped;information;13∞ 09,707' N;059∞ 24,427' W;171;0;26;63.0;4.8;03;0
0;f;5;M203_0_Underway-5;t;LIDAR;LIDAR;f;16.08.24 10:30;Start recording;information;16∞ 30,357' N;024∞ 57,021' W;2754;11;156;29.0;8.9;10;0
0;f;5;M203_0_Underway-5;t;LIDAR;LIDAR;f;28.08.24 08:30;recording stopped;information;14∞ 51,927' N;023∞ 30,065' W;0;8;360;14.0;5.2;03;0
0;f;5;M203_0_Underway-5;t;LIDAR;LIDAR;f;28.08.24 11:15;recording continued;information;14∞ 53,927' N;023∞ 29,916' W;5587;0;337;60.0;7.7;03;0
0;f;5;M203_0_Underway-5;t;LIDAR;LIDAR;f;24.09.24 01:51;recording stopped;information;13∞ 09,707' N;059∞ 24,427' W;171;0;76;60.0;5.3;03;0
0;f;11;M203_0_Underway-11;t;LIDAR;LIDAR;f;16.08.24 10:45;Wind Lidar TU Delft - recording started;information;16∞ 27,890' N;024∞ 55,877' W;2894;11;156;37.0;7.0;10;0
0;f;10;M203_0_Underway-10;t;RM;RM;f;16.08.24 10:45;HATPRO - Microwave Radiometer - UNI Leipzig - recording start;information;16∞ 27,890' N;024∞ 55,877' W;2894;11;156;37.0;7.0;10;0
0;f;9;M203_0_Underway-9;t;LIDAR;LIDAR;f;16.08.24 10:45;Wind Lidar UNI Leipzig - recording started;information;16∞ 27,890' N;024∞ 55,877' W;2894;11;156;37.0;7.0;10;0
0;f;11;M203_0_Underway-11;t;LIDAR;LIDAR;f;28.08.24 08:54;recording stopped;information;14∞ 53,939' N;023∞ 29,904' W;0;1;235;334.0;3.5;03;0
0;f;10;M203_0_Underway-10;t;RM;RM;f;28.08.24 08:54;recording stopped;information;14∞ 53,939' N;023∞ 29,904' W;0;1;243;335.0;3.3;03;0
0;f;9;M203_0_Underway-9;t;LIDAR;LIDAR;f;28.08.24 08:54;recording stopped;information;14∞ 53,939' N;023∞ 29,907' W;0;0;237;343.0;3.7;03;0
0;f;11;M203_0_Underway-11;t;LIDAR;LIDAR;f;28.08.24 10:50;recording continued;information;14∞ 53,926' N;023∞ 29,914' W;5909;0;30;68.0;7.8;03;0
0;f;10;M203_0_Underway-10;t;RM;RM;f;28.08.24 10:50;recording continued;information;14∞ 53,926' N;023∞ 29,914' W;5909;0;196;68.0;9.0;03;0
0;f;9;M203_0_Underway-9;t;LIDAR;LIDAR;f;28.08.24 10:50;recording continued;information;14∞ 53,926' N;023∞ 29,914' W;5849;0;208;65.0;9.7;03;0
0;f;9;M203_0_Underway-9;t;LIDAR;LIDAR;f;22.09.24 13:47;recording stopped;information;12∞ 52,403' N;058∞ 43,183' W;1846;0;345;109.0;4.3;03;8
0;f;10;M203_0_Underway-10;t;RM;RM;f;24.09.24 01:52;recording stopped;information;13∞ 09,708' N;059∞ 24,427' W;171;0;92;61.0;4.8;03;0
0;f;11;M203_0_Underway-11;t;LIDAR;LIDAR;f;24.09.24 01:53;recording stopped;information;13∞ 09,708' N;059∞ 24,427' W;171;0;49;63.0;4.6;03;0
0;f;6;M203_0_Underway-6;t;LIDAR;LIDAR;f;16.08.24 11:00;Start recording;profile start;16∞ 25,470' N;024∞ 54,750' W;2961;11;155;30.0;8.2;10;0
0;f;6;M203_0_Underway-6;t;LIDAR;LIDAR;f;28.08.24 08:30;recording stopped;information;14∞ 51,973' N;023∞ 30,064' W;0;8;1;19.0;5.4;03;0
0;f;6;M203_0_Underway-6;t;LIDAR;LIDAR;f;28.08.24 11:15;recording continued;information;14∞ 53,927' N;023∞ 29,916' W;5587;0;31;65.0;7.0;03;0
0;f;6;M203_0_Underway-6;t;LIDAR;LIDAR;f;23.09.24 20:39;;profile end;13∞ 09,696' N;059∞ 24,582' W;129;0;11;95.0;4.1;03;0
1;t;1;M203_1-1;t;BLN;BLN;f;16.08.24 16:50;released;information;15∞ 30,175' N;024∞ 29,135' W;3911;10;156;55.0;5.3;10;0
0;f;7;M203_0_Underway-7;t;XMR;XMR;f;16.08.24 19:31;Start recording;information;15∞ 05,510' N;024∞ 17,747' W;2024;10;161;61.0;3.0;10;0
0;f;7;M203_0_Underway-7;t;XMR;XMR;f;24.09.24 01:53;recording stopped;information;13∞ 09,708' N;059∞ 24,427' W;171;0;153;60.0;4.2;03;0
2;t;1;M203_2-1;t;BLN;BLN;f;16.08.24 19:51;released;information;15∞ 02,385' N;024∞ 16,305' W;1495;11;155;48.0;3.1;10;0
3;t;1;M203_3-1;t;BLN;BLN;f;16.08.24 22:51;released;information;14∞ 33,072' N;024∞ 05,489' W;3952;10;159;51.0;2.0;10;0
4;t;1;M203_4-1;t;BLN;BLN;f;17.08.24 01:50;released;information;14∞ 03,606' N;023∞ 54,800' W;4315;11;162;129.0;1.0;10;0
